Property Names,Brand,State,Location,Property type,Pet-friendly,Factsheets,Status,Factsheet SPOC,Updated,OTA Listing Content,Unnamed: 11,Website content Website Amenities,Status.1,Brochure Content,Status.2,Website live Status,Brochure Design (Branded) link,Brochure Design (Branded) Bitly Link,Status.3,Remarks,Brochure_Branded | Verification,"Brochure Design 
(Non-Branded) Link",Brochure Design (Non-Branded) Bitly Link,Status.4,"Home Guide
(Content)","Home Guide
(Design)",Remarks.1,Brochure_Non Branded | Verification,Set Menu (Branded),Set Menu,"Walk-Through Videos 
(Branded) links",Non-branded Walkthrough links,"Walk-Through Videos 
(Non-Branded) links",Non-Branded photo drive links,Unnamed: 35,Raw Photoshoot,Photo Drive Link,3D Tour,Reels,ID,Price,Email
ELIVAAS Bauhinia,ELIVAAS,Goa,Assagao,,No,Bauhinia Property Details Form,Yes,,,BAUHINIA LISTING.docx,Done,,,BAUHINIA BROCHURE.docx,Done,Done,ELIVAAS_Bauhinia_Detailed Brochure.pdf,https://bit.ly/3Tg6Bsu,Done,Good To Go,,G1BA5E0010_Detailed Brochure.pdf,https://bit.ly/3teiX9Y,Done,BAUHINIA HOME GUIDE,Bauhinia - HOME GUIDE.pdf,Good To Go,,,,Bauhinia Walkthrough.mp4,Bauhinia Walkthrough.mp4,G1BA5E0010.mp4,https://bit.ly/4cXXLpE,Bauhinia,,Bauhinia 5BHK Assagao,https://bit.ly/3Q58OVP,https://www.instagram.com/p/C9uCCLUPWgr/,,,
ELIVAAS Dahlia,ELIVAAS,Goa,Arpora,,No,Dahlia Property Details Form,Yes,,,DAHLIA Listing Content,Done,,,DAHLIA Brochure Content,Done,Done,Elivaas_Dahlia_Detailed Brochure.pdf,https://bit.ly/3LP3LWw,Done,Good To Go,,G1DA4E0013_Detailed Brochure.pdf,https://bit.ly/3RIMWjS,Done,DAHLIA HOME GUIDE,Dahlia - HOME GUIDE.pdf,Good To Go,,,,Dahlia Walkthrough.mp4,Dahlia Walkthrough.mp4,G1DA4E0013.mp4,https://bit.ly/49cYrpY,Dahlia,,Dahlia Arpora - 4BHK,https://bit.ly/3LV8hD8,,,,
ELIVAAS Indah,ELIVAAS,Goa,Moira,4-BHK Villa,No,Indah Property Details Form,Yes,,,INDAH Listing Content,Done,,,INDAH Brochure Content.docx,Done,Done,Elivaas_Indah_Detailed Brochure.pdf,https://bit.ly/3ti0FVm,Done,Good To Go,,G1IH4E0015_Detailed Brochure.pdf,https://bit.ly/3InBiFg,Done,INDAH HOME GUIDE,Indah - HOME GUIDE.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Indah Walkthrough.mp4,Indah Walkthrough.MP4,G1IH4E0015.MP4,https://bit.ly/4bzVcKM,Indah,,Indah_4bhk_Moira,https://bit.ly/469uGol,https://www.instagram.com/p/C-iXFaEC2jw/,,,
ELIVAAS Risaia,ELIVAAS,Goa,Nerul,4-BHK Villa,No,Risaia Property Details Form,Yes,,,RISAIA Listing Content,Done,,,RISAIA Brochure.docx,Done,Done,ELIVAAS_Risaia_Detailed Brochure.pdf,https://bit.ly/3ThQkmS,Done,Good To Go,,G1RA4E0020_Detailed Brochure.pdf,https://bit.ly/3TjceGl,Done,RISAIA HOME GUIDE,Risaia - HOME GUIDE.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Risaia Walkthrough.mp4,Risaia Walkthrough.mp4,G1RA4E0020.mp4,https://bit.ly/49bkGg0,Risaia,,"Risaia, nerul",https://bit.ly/48un1CG,,,,
ELIVAAS Cloud 7 Waves (Villa No 3),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Waves Cloud 7(details to be replicated for Villa 1 - shells, 2 - shore, 3 - Waves, 4- Cove) Property Details Form",Yes,,,"WAVES, C-7 Listing Content",Done,,,"WAVES, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,Good To Go,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 WAVES HOME GUIDE,Cloud 7 Waves - HOME GUIDE.pdf,Good To Go,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3OHjKYm,Cloud 7  Waves,,Villa 6,https://bit.ly/45P20zV,https://www.instagram.com/p/DCqhrEhScle/ | https://www.instagram.com/p/C_lDDY-o8q7/ https://www.instagram.com/p/C-AwXOVSUj8/ | https://www.instagram.com/p/C9xA2Ahymi-/ https://www.instagram.com/p/C9t4rQhOpxF/ | https://www.instagram.com/p/C9C5uguJtwH/  https://www.instagram.com/p/C6TU16rJs8B/ | https://www.instagram.com/p/C6OeuNuMdEn/,,,
ELIVAAS Cloud 7 Cove (Villa No 4),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Waves Cloud 7(details to be replicated for Villa 1 - shells, 2 - shore, 3 - Waves, 4- Cove) Property Details Form",Yes,,,"COVE, C-7 Listing Content",Done,,,"COVE, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 COVE HOME GUIDE,Cloud 7 Cove - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SwlswI,Cloud 7  Cove,,Villa 4,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",,,
ELIVAAS Cloud 7 Shells (Villa No 1),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Waves Cloud 7(details to be replicated for Villa 1 - shells, 2 - shore, 3 - Waves, 4- Cove) Property Details Form",Yes,,,"SHELLS, C-7 Listing Content",Done,,,"SHELLS, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 SHELLS HOME GUIDE,Cloud 7 Shells - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3SHbjNQ,Cloud 7  Shells,,Villa 1,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",,,
ELIVAAS Cloud 7 Shore (Villa No 2),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Waves Cloud 7(details to be replicated for Villa 1 - shells, 2 - shore, 3 - Waves, 4- Cove) Property Details Form",Yes,,,"SHORE, C-7 Listing Content",Done,,,"SHORE, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 SHORE HOME GUIDE,Cloud 7 Shore - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3uEuOP6,Cloud 7  Shore,,Villa 2,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",,,
ELIVAAS Cloud 7 Palms (Villa No 5),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Cloud 7(details to be replicated for Villa 5- Palm, 6-tropical, 7 - Coral) Details Form",Yes,,,"PALMS, C-7 Listing Content",Done,,,"PALMS, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 PALMS HOME GUIDE,Cloud 7 Palms - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/3I0Yady,Cloud 7  Palms,,Villa 5,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",,,
ELIVAAS Cloud 7 Coral (Villa No 7),ELIVAAS,Goa,Vagator,4-BHK Villa,No,"Cloud 7(details to be replicated for Villa 5- Palm, 6-tropical, 7 - Coral) Details Form",Yes,,,"CORAL, C-7 Listing Content",Done,,,"CORAL, C-7 Brochure Content.docx",Done,Done,Elivaas_Cloud7 Brochure.pdf,https://bit.ly/4anxqkK,Done,,,G1CD4E0005_Detailed Brochure.pdf,https://bit.ly/48gl0cp,Done,CLOUD 7 CORAL HOME GUIDE,Cloud 7 Coral - HOME GUIDE.pdf,,,ELIVAAS Food Menu Goa..pdf,Goa- Set Menu.pdf,Cloud7 Walkthrough.mp4,Cloud7 Walkthrough.mp4,G1CD4E0008.mp4,https://bit.ly/49e4f2u,Cloud 7  Coral,,Villa 7,https://bit.ly/45P20zV,"https://www.instagram.com/p/DCqhrEhScle/, https://www.instagram.com/p/C_lDDY-o8q7/, https://www.instagram.com/p/C-AwXOVSUj8/, https://www.instagram.com/p/C9xA2Ahymi-/, https://www.instagram.com/p/C9t4rQhOpxF/, https://www.instagram.com/p/C9C5uguJtwH/, https://www.instagram.com/p/C6TU16rJs8B/, https://www.instagram.com/p/C6OeuNuMdEn/",,,
